#SDF2asc -v panel_d3.010 x y z strx stry strz
#x y z strx stry strz
1.516197e-01 -6.556114e-01 7.348622e-01 -3.257619e-02 -1.805107e-02 -9.204068e-03
1.558652e-01 -5.897316e-01 7.875036e-01 -3.239576e-02 -1.514069e-02 -5.032103e-03
-2.328064e-01 -5.455328e-01 8.003345e-01 -1.749654e-02 -1.236691e-03 -5.962080e-03
-1.516197e-01 -6.556114e-01 7.348621e-01 -2.017598e-02 -4.932380e-03 -8.566893e-03
-7.951690e-02 -5.590851e-01 8.202724e-01 -2.213279e-02 -4.483107e-03 -5.198277e-03
-1.558652e-01 -5.897316e-01 7.875036e-01 -1.981558e-02 -3.473944e-03 -6.457158e-03
7.527138e-02 -6.912227e-01 7.138375e-01 -2.874203e-02 -1.432060e-02 -1.094802e-02
0.000000e+00 -5.969747e-01 7.972330e-01 -2.519074e-02 -7.927194e-03 -5.943731e-03
-7.527138e-02 -6.912227e-01 7.138375e-01 -2.267633e-02 -7.827860e-03 -9.954556e-03
0.000000e+00 -6.632326e-01 7.434394e-01 -2.550873e-02 -1.001827e-02 -8.856961e-03
4.789698e-01 -3.780301e-02 8.739590e-01 -4.420513e-02 1.471090e-02 2.452027e-02
3.629753e-01 -4.025026e-02 9.275261e-01 -3.494192e-02 1.529177e-02 1.413703e-02
4.355459e-01 -1.576718e-01 8.826751e-01 -4.479862e-02 1.820538e-03 2.217409e-02
4.281062e-01 -7.805327e-02 8.970366e-01 -4.115563e-02 1.125013e-02 2.075893e-02
7.762511e-02 -4.324397e-02 9.921917e-01 -2.127530e-02 1.214609e-02 2.152611e-03
1.590728e-01 -1.730389e-01 9.677290e-01 -2.698078e-02 6.864188e-03 5.609451e-03
2.275060e-01 -4.217311e-02 9.691747e-01 -2.731569e-02 1.403236e-02 6.913339e-03
1.558183e-01 -8.541708e-02 9.801346e-01 -2.514017e-02 1.123243e-02 5.036063e-03
3.104315e-01 -4.199327e-01 8.483094e-01 -4.059158e-02 -1.579885e-02 7.013692e-03
3.791257e-01 -2.874989e-01 8.754686e-01 -4.350440e-02 -8.939892e-03 1.576537e-02
2.385896e-01 -3.017000e-01 9.185848e-01 -3.358761e-02 -2.366246e-03 7.888352e-03
3.116835e-01 -3.376123e-01 8.838046e-01 -3.914176e-02 -8.677061e-03 1.043904e-02
3.009873e-01 -8.242336e-02 9.463782e-01 -3.230350e-02 1.202219e-02 1.141304e-02
2.366042e-01 -2.141412e-01 9.434625e-01 -3.176549e-02 3.666749e-03 8.815223e-03
3.762587e-01 -2.042150e-01 8.998579e-01 -4.098216e-02 -3.340311e-05 1.716023e-02
3.068310e-01 -1.667696e-01 9.330715e-01 -3.490931e-02 5.587927e-03 1.234813e-02
-2.366369e-01 -4.693744e-01 8.459517e-01 -1.700226e-02 3.216728e-04 -4.521498e-03
-8.089368e-02 -4.814219e-01 8.677586e-01 -2.156652e-02 -2.182046e-03 -3.197413e-03
-1.617732e-01 -3.505561e-01 9.177449e-01 -1.809925e-02 2.369006e-03 -2.272074e-03
-1.610724e-01 -4.359102e-01 8.806069e-01 -1.880747e-02 1.797299e-04 -3.351340e-03
2.366369e-01 -4.693744e-01 8.459517e-01 -3.605821e-02 -1.362585e-02 2.434072e-03
1.617732e-01 -3.505561e-01 9.177450e-01 -3.013532e-02 -2.673198e-03 4.267662e-03
8.089368e-02 -4.814219e-01 8.677586e-01 -2.779210e-02 -6.446110e-03 -1.011976e-03
1.610724e-01 -4.359102e-01 8.806069e-01 -3.125840e-02 -7.508641e-03 2.000954e-03
0.000000e+00 -8.648794e-02 9.922013e-01 -1.957606e-02 9.924164e-03 8.948589e-04
-8.087952e-02 -2.196674e-01 9.677400e-01 -1.901615e-02 5.588814e-03 -3.191258e-04
8.087952e-02 -2.196674e-01 9.677400e-01 -2.451055e-02 5.164427e-03 3.230981e-03
0.000000e+00 -1.752895e-01 9.801552e-01 -2.087652e-02 6.940318e-03 1.241115e-03
0.000000e+00 -4.416484e-01 8.922052e-01 -2.411064e-02 -2.633751e-03 -1.301626e-03
8.159448e-02 -3.096258e-01 9.426335e-01 -2.583430e-02 1.118460e-03 2.589048e-03
-8.159448e-02 -3.096258e-01 9.426335e-01 -1.999857e-02 2.868549e-03 -7.762490e-04
0.000000e+00 -3.552063e-01 9.299421e-01 -2.322363e-02 6.226537e-04 2.378324e-04
5.401363e-01 6.116655e-02 8.361560e-01 -4.485853e-02 2.667226e-02 2.692411e-02
6.180937e-01 1.376968e-01 7.698542e-01 -4.718680e-02 3.766073e-02 3.109513e-02
5.006721e-01 1.825479e-01 8.424248e-01 -3.399545e-02 3.795320e-02 1.170913e-02
5.543991e-01 1.262929e-01 8.189833e-01 -4.162771e-02 3.518550e-02 2.284702e-02
7.570905e-01 3.027767e-01 5.722591e-01 -3.593388e-02 5.108576e-02 2.061663e-02
6.472336e-01 3.594998e-01 6.660290e-01 -2.535991e-02 5.770636e-02 -6.642255e-03
6.926891e-01 2.198572e-01 6.816758e-01 -4.587670e-02 4.927537e-02 3.075743e-02
7.020864e-01 2.940729e-01 6.425223e-01 -3.604681e-02 5.691526e-02 1.311741e-02
3.804018e-01 4.466589e-01 8.050655e-01 -1.342074e-02 3.829220e-02 -1.496931e-02
4.473632e-01 3.135633e-01 8.332955e-01 -2.311015e-02 4.141619e-02 -3.404855e-03
5.185726e-01 4.086439e-01 7.455460e-01 -1.815609e-02 4.866688e-02 -1.419940e-02
4.498913e-01 3.904029e-01 7.983875e-01 -1.827230e-02 4.346561e-02 -1.088780e-02
6.314142e-01 2.086352e-01 7.421631e-01 -4.161167e-02 4.758964e-02 2.197666e-02
5.830919e-01 3.464877e-01 7.293214e-01 -2.529211e-02 5.365617e-02 -5.228361e-03
5.096225e-01 2.551554e-01 8.174345e-01 -2.952927e-02 4.385765e-02 4.879203e-03
5.766699e-01 2.698388e-01 7.663018e-01 -3.216606e-02 4.937586e-02 6.591038e-03
8.361560e-01 5.401363e-01 6.116655e-02 9.971293e-02 -1.630390e-01 7.480235e-02
7.698543e-01 6.180937e-01 1.376968e-01 6.832877e-02 -8.013064e-02 -1.900369e-02
8.424248e-01 5.006721e-01 1.825479e-01 6.876492e-02 -1.244040e-01 2.366709e-02
8.189833e-01 5.543991e-01 1.262929e-01 8.029021e-02 -1.228031e-01 1.748862e-02
5.722591e-01 7.570905e-01 3.027767e-01 2.896020e-02 -1.307442e-03 -5.132527e-02
6.660290e-01 6.472336e-01 3.594998e-01 2.555355e-02 6.528397e-03 -5.874075e-02
6.816759e-01 6.926891e-01 2.198572e-01 4.485390e-02 -2.783819e-02 -5.001259e-02
6.425223e-01 7.020864e-01 2.940729e-01 3.326064e-02 -7.158986e-03 -5.560790e-02
8.050655e-01 3.804018e-01 4.466589e-01 -1.161955e-02 2.228882e-02 2.027401e-03
8.332955e-01 4.473632e-01 3.135633e-01 2.700895e-02 -4.719003e-02 -4.514510e-03
7.455460e-01 5.185726e-01 4.086439e-01 1.376437e-02 1.854912e-02 -4.837387e-02
7.983875e-01 4.498913e-01 3.904029e-01 9.786121e-03 4.593769e-03 -2.534553e-02
7.421631e-01 6.314142e-01 2.086352e-01 5.229175e-02 -4.731196e-02 -4.381743e-02
7.293214e-01 5.830919e-01 3.464877e-01 2.750059e-02 -9.292876e-04 -5.643539e-02
8.174345e-01 5.096225e-01 2.551554e-01 4.730071e-02 -6.585127e-02 -1.990358e-02
7.663018e-01 5.766699e-01 2.698388e-01 4.268179e-02 -3.424209e-02 -4.698160e-02
6.116655e-02 8.361560e-01 5.401363e-01 5.995341e-03 1.365746e-02 -2.178271e-02
1.376968e-01 7.698542e-01 6.180937e-01 3.510565e-03 1.826970e-02 -2.341429e-02
1.825479e-01 8.424248e-01 5.006721e-01 8.555862e-03 1.415287e-02 -2.699593e-02
1.262929e-01 8.189833e-01 5.543991e-01 5.913331e-03 1.531647e-02 -2.399656e-02
3.027767e-01 5.722591e-01 7.570905e-01 -5.753286e-03 3.165146e-02 -2.153888e-02
